feature,importance
tqwt_minValue_dec_15,0.024581094817433785
tqwt_TKEO_std_dec_6,0.024513539326892073
apq11Shimmer,0.023048178237435425
tqwt_minValue_dec_23,0.022652692807561013
tqwt_minValue_dec_6,0.022356892680162527
Ed2_4_coef,0.022317601273417337
tqwt_meanValue_dec_5,0.022079309074240765
tqwt_entropy_log_dec_15,0.021860975999578824
det_LT_entropy_log_5_coef,0.02182488620855673
tqwt_kurtosisValue_dec_12,0.02058455489815277
Ed_8_coef,0.020040507920564967
det_LT_TKEO_mean_10_coef,0.019874019125234853
tqwt_entropy_log_dec_24,0.019013519672723817
tqwt_TKEO_std_dec_26,0.018568124361997396
tqwt_minValue_dec_19,0.018313499704669767
tqwt_entropy_log_dec_1,0.018082274958484006
det_entropy_log_2_coef,0.01792710949651499
det_entropy_shannon_7_coef,0.017556337666132734
tqwt_meanValue_dec_36,0.016674481916240966
tqwt_energy_dec_29,0.01651353496408843
tqwt_medianValue_dec_28,0.016442931807044172
tqwt_skewnessValue_dec_22,0.01635796840345178
tqwt_stdValue_dec_35,0.0159923080438151
tqwt_energy_dec_5,0.01571602507090904
tqwt_TKEO_std_dec_30,0.01529718858243904
tqwt_maxValue_dec_17,0.014874876197306682
tqwt_medianValue_dec_23,0.014814501130442076
app_LT_entropy_shannon_4_coef,0.014801127720315416
std_MFCC_4th_coef,0.01405022659521287
tqwt_energy_dec_30,0.014043250690787124
det_entropy_shannon_1_coef,0.013807673269751602
meanHarmToNoiseHarmonicity,0.013616029871517225
tqwt_medianValue_dec_5,0.013601332866948632
tqwt_skewnessValue_dec_20,0.013479635266639822
det_LT_TKEO_std_2_coef,0.013413423331193771
tqwt_skewnessValue_dec_15,0.013260935285573781
std_MFCC_8th_coef,0.012559872937975811
tqwt_minValue_dec_12,0.012541394720730199
tqwt_meanValue_dec_22,0.012154778944274663
det_LT_TKEO_std_1_coef,0.012035795648303727
tqwt_entropy_log_dec_16,0.011757616264658141
tqwt_skewnessValue_dec_13,0.011434492216097812
det_entropy_shannon_2_coef,0.011375269825303139
tqwt_medianValue_dec_2,0.011059845609259466
tqwt_medianValue_dec_16,0.010621148688290344
tqwt_skewnessValue_dec_4,0.008038076757017634
tqwt_TKEO_mean_dec_28,0.007554760370583865
tqwt_minValue_dec_5,0.007313284815857345
det_entropy_log_3_coef,0.007135023349102965
tqwt_skewnessValue_dec_9,0.006767564955855581
app_TKEO_std_9_coef,0.006569096480119338
mean_1st_delta,0.006491384674783604
Ed2_6_coef,0.00623200641039516
tqwt_TKEO_std_dec_22,0.005263843272855579
tqwt_entropy_shannon_dec_19,0.005215179419659372
std_Log_energy,0.005182500097612464
app_det_TKEO_mean_4_coef,0.005022841369197576
tqwt_minValue_dec_36,0.004546708789909215
DFA,0.0034747641981037482
tqwt_kurtosisValue_dec_14,0.003009826675667755
tqwt_medianValue_dec_11,0.0029713497830526387
tqwt_meanValue_dec_15,0.002815087698873828
det_LT_TKEO_mean_1_coef,0.002206585806517914
tqwt_maxValue_dec_3,0.001558504646795898
tqwt_meanValue_dec_13,0.0011465804015945217
mean_11th_delta,0.0005429323374225124
VFER_std,0.0002752858570531211
det_LT_TKEO_mean_3_coef,0.0
app_LT_entropy_log_6_coef,0.0
app_LT_entropy_log_7_coef,0.0
tqwt_skewnessValue_dec_18,0.0
VFER_NSR_SEO,0.0
IMF_SNR_SEO,0.0
b3,0.0
tqwt_kurtosisValue_dec_10,0.0
det_TKEO_mean_5_coef,0.0
det_TKEO_mean_4_coef,0.0
det_TKEO_std_6_coef,0.0
det_TKEO_std_5_coef,0.0
det_TKEO_std_2_coef,0.0
det_TKEO_mean_6_coef,0.0
det_TKEO_std_1_coef,0.0
det_TKEO_mean_9_coef,0.0
tqwt_TKEO_mean_dec_31,0.0
tqwt_TKEO_mean_dec_32,0.0
tqwt_TKEO_std_dec_33,0.0
tqwt_TKEO_std_dec_34,0.0
tqwt_TKEO_std_dec_36,0.0
app_entropy_shannon_8_coef,0.0
det_entropy_log_7_coef,0.0
tqwt_TKEO_mean_dec_30,0.0
tqwt_TKEO_std_dec_31,0.0
tqwt_TKEO_std_dec_24,0.0
tqwt_TKEO_std_dec_14,0.0
app_LT_entropy_log_9_coef,0.0
app_LT_TKEO_mean_5_coef,0.0
app_LT_TKEO_mean_6_coef,0.0
det_LT_TKEO_std_8_coef,0.0
tqwt_TKEO_std_dec_15,0.0
tqwt_TKEO_std_dec_16,0.0
tqwt_TKEO_std_dec_20,0.0
tqwt_TKEO_std_dec_21,0.0
tqwt_TKEO_mean_dec_27,0.0
apq5Shimmer,0.0
apq3Shimmer,0.0
locShimmer,0.0
ddaShimmer,0.0
tqwt_TKEO_mean_dec_22,0.0
tqwt_medianValue_dec_20,0.0
det_entropy_log_6_coef,0.0
det_entropy_log_4_coef,0.0
det_TKEO_std_10_coef,0.0
tqwt_TKEO_mean_dec_24,0.0
det_TKEO_std_7_coef,0.0
tqwt_entropy_log_dec_30,0.0
app_entropy_shannon_7_coef,0.0
tqwt_TKEO_mean_dec_1,0.0
tqwt_TKEO_mean_dec_2,0.0
app_det_TKEO_mean_8_coef,0.0
tqwt_TKEO_mean_dec_34,0.0
app_entropy_shannon_1_coef,0.0
app_entropy_shannon_2_coef,0.0
det_TKEO_std_9_coef,0.0
tqwt_TKEO_mean_dec_13,0.0
tqwt_TKEO_mean_dec_17,0.0
tqwt_medianValue_dec_24,0.0
tqwt_TKEO_mean_dec_18,0.0
tqwt_medianValue_dec_35,0.0
tqwt_meanValue_dec_1,0.0
tqwt_meanValue_dec_3,0.0
tqwt_medianValue_dec_30,0.0
tqwt_meanValue_dec_6,0.0
tqwt_meanValue_dec_10,0.0
tqwt_medianValue_dec_18,0.0
det_entropy_shannon_3_coef,0.0
det_entropy_shannon_5_coef,0.0
tqwt_TKEO_std_dec_3,0.0
tqwt_TKEO_mean_dec_12,0.0
app_entropy_shannon_4_coef,0.0
tqwt_meanValue_dec_14,0.0
tqwt_stdValue_dec_4,0.0
tqwt_stdValue_dec_1,0.0
tqwt_entropy_log_dec_22,0.0
